grid_id,total_road_len
33167,57506.11055931389
33168,88438.763053302
33169,65322.13607653646
33170,36115.316056066506
33171,56528.65231206642
33172,96345.82489144837
33173,65341.747861057134
33174,34122.64994160939
33580,66015.94657613568
33581,181904.84154271826
33582,201802.2729283742
33583,155555.94447375194
33584,54785.75571408504
33585,51664.68089988088
33586,73973.9504058473
33587,77158.48599627377
33589,48676.418274201904
33590,47637.89022200551
33591,85020.66579896717
33592,77014.15560322977
33593,67291.10788546548
33998,585.5464811455329
33999,72793.95478995155
34000,162547.6460220221
34001,100708.6752943511
34002,98352.56113305596
34003,173226.07750083154
34004,14734.560398284995
34005,21804.98670090029
34006,70735.68456952611
34007,21113.64145919899
34008,75936.48355363969
34009,51099.869736879984
34010,53538.29170042842
34011,46119.378982339265
34012,102582.36688650952
34417,235617.72897089043
34418,195292.62662938854
34419,188358.4162759569
34420,249789.97939382528
34421,71247.3404615757
34422,65684.77331396833
34423,64388.114493832676
34424,63686.82606396698
34425,22487.92329629651
34428,2105.8039187589984
34430,40751.49549182536
34431,60337.71532589891
34835,66861.88922993513
34836,164390.6664273672
34837,126189.866912893
34838,86684.14286661247
34839,145042.07978346117
34840,84616.75878008202
34841,67892.22740644346
34842,80402.54872497947
34843,109626.61798403811
34844,7141.205938663616
34849,38165.72382647646
34850,70733.65080412893
35254,81785.81391918947
35255,9387.244564315286
35256,56976.614535458946
35257,39950.73459603568
35258,11797.995252872353
35259,80471.63628943537
35260,5974.244019106305
35261,42875.49248903957
35262,46811.71993330903
35263,15214.746710844249
35268,8746.885345331237
35676,52059.21192338396
35678,19710.50576731568
35680,1079.2301437185142
35681,75444.7083414632
35682,35897.38195066692
36100,20843.180923538806
26081,13287.984913143951
26082,62752.72061181084
26083,23367.246716019603
26500,3177.337510837722
26501,50573.79030512743
26502,77578.30146649612
26503,10177.60642974886
26518,41181.283806661
26519,66034.87365996723
26920,34969.56635911566
26921,49095.878360520306
26922,69883.72343277873
26923,56482.45007531417
26936,24958.83043468264
26937,124062.30531814994
26938,105946.84396187923
27339,29291.13821308863
27340,91689.58627993993
27341,102097.47426682891
27342,60208.94274898116
27343,44792.08043142413
27354,16903.714897032765
27355,62188.308977995344
27356,100615.72244928157
27357,17496.669984463246
27358,9418.946633463285
27359,4108.343928966824
27757,8950.493204440745
27758,85029.22345253969
27759,105677.6382336755
27760,67638.52257534541
27761,55391.71683753998
27762,66478.71663529186
27773,30169.914072022588
27774,85847.3535025547
27775,75261.47944591523
27776,66793.55608910682
27777,34899.380783330234
27778,63762.56476584363
27779,14593.983902837965
28177,23803.05040841361
28178,59754.53063217928
28179,79471.21829820116
28180,37019.57071912786
28181,50973.465566858555
28190,19977.765802560403
28191,52729.99883307871
28192,87109.11976116536
28193,106217.96029291066
28194,70361.64985728425
28195,20671.18478705767
28196,28915.789358107002
28197,59106.80392914435
28198,74568.832775387
28598,93069.42486130224
28599,59398.5881988957
28600,66761.40424903495
28601,7248.644569140373
28609,22010.046564844048
28610,73470.87670602973
28611,6236.915837080718
28612,129564.7799874395
28613,19984.185530479637
28614,15185.551993551157
28616,15732.296079321728
28617,81848.4752388966
28618,33186.63482108911
29017,41325.657596737474
29018,61299.753460989676
29019,62904.094657307425
29020,30286.235845774412
29021,12824.473495248258
29022,9172.820282022434
